Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price, Profit , Cost , Sales 
1/6/2011,6,January,2011,19,Youth (<25),Female,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578," $1,371 "," $2,171 "," $3,542 "
1/6/2011,6,January,2011,44,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",3,2171,3578," $4,006 "," $6,513 "," $10,519 "
1/7/2011,7,January,2011,41,Adults (35-64),Female,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 40",1,713,1120, $362 , $713 ," $1,075 "
1/7/2011,7,January,2011,28,Young Adults (25-34),Male,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701, $397 ," $1,083 "," $1,480 "
1/7/2011,7,January,2011,31,Young Adults (25-34),Male,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 40",2,1083,1701," $1,100 "," $2,166 "," $3,266 "
1/7/2011,7,January,2011,18,Youth (<25),Female,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 52",1,344,540, $83 , $344 , $427 
1/8/2011,8,January,2011,27,Young Adults (25-34),Female,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295, $561 ," $1,252 "," $1,813 "
1/8/2011,8,January,2011,34,Young Adults (25-34),Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295, $997 ," $1,252 "," $2,249 "
1/8/2011,8,January,2011,39,Adults (35-64),Male,Australia,Tasmania,Bikes,Road Bikes,"Road-350-W Yellow, 44",3,1083,1701, $884 ," $3,249 "," $4,133 "
1/8/2011,8,January,2011,35,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120, $385 , $713 ," $1,098 "
1/8/2011,8,January,2011,34,Young Adults (25-34),Male,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701, $397 ," $1,083 "," $1,480 "
1/8/2011,8,January,2011,40,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-650 Black, 48",4,487,783, $495 ," $1,948 "," $2,443 "
1/8/2011,8,January,2011,31,Young Adults (25-34),Female,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 62",3,2171,3578," $2,718 "," $6,513 "," $9,231 "
1/8/2011,8,January,2011,35,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",4,2171,3578," $2,479 "," $8,684 "," $11,163 "
1/9/2011,9,January,2011,30,Young Adults (25-34),Female,Australia,Tasmania,Bikes,Road Bikes,"Road-250 Black, 52",1,1555,2443, $424 ," $1,555 "," $1,979 "
1/9/2011,9,January,2011,17,Youth (<25),Female,Canada,British Columbia,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701, $601 ," $1,083 "," $1,684 "
1/9/2011,9,January,2011,28,Young Adults (25-34),Male,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701, $397 ," $1,083 "," $1,480 "
1/9/2011,9,January,2011,39,Adults (35-64),Female,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",3,2171,3578," $1,860 "," $6,513 "," $8,373 "
1/9/2011,9,January,2011,34,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 56",3,2171,3578," $4,006 "," $6,513 "," $10,519 "
1/10/2011,10,January,2011,28,Young Adults (25-34),Female,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",4,1266,2320," $2,546 "," $5,064 "," $7,610 "
1/10/2011,10,January,2011,33,Young Adults (25-34),Female,France,Nord,Bikes,Road Bikes,"Road-150 Red, 52",3,2171,3578," $2,826 "," $6,513 "," $9,339 "
1/10/2011,10,January,2011,37,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120, $161 , $713 , $874 
1/10/2011,10,January,2011,35,Adults (35-64),Female,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701, $397 ," $1,083 "," $1,480 "
1/11/2011,11,January,2011,24,Youth (<25),Female,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",2,1266,2320," $1,366 "," $2,532 "," $3,898 "
1/11/2011,11,January,2011,34,Young Adults (25-34),Male,United States,Oregon,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1,420,769, $241 , $420 , $661 
1/11/2011,11,January,2011,34,Young Adults (25-34),Male,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 40",4,295,540, $937 ," $1,180 "," $2,117 "
1/11/2011,11,January,2011,33,Young Adults (25-34),Female,Australia,South Australia,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443, $448 ," $1,555 "," $2,003 "
1/11/2011,11,January,2011,21,Youth (<25),Female,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Black, 58",3,1555,2443," $1,711 "," $4,665 "," $6,376 "
1/11/2011,11,January,2011,34,Young Adults (25-34),Male,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120, $362 , $713 ," $1,075 "
1/11/2011,11,January,2011,38,Adults (35-64),Male,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578," $1,371 "," $2,171 "," $3,542 "
1/11/2011,11,January,2011,38,Adults (35-64),Male,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443, $582 ," $1,519 "," $2,101 "
1/11/2011,11,January,2011,61,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",2,2171,3578," $2,671 "," $4,342 "," $7,013 "
1/12/2011,12,January,2011,30,Young Adults (25-34),Male,France,Seine (Paris),Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578, $763 ," $2,171 "," $2,934 "
1/12/2011,12,January,2011,33,Young Adults (25-34),Female,France,Garonne (Haute),Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578," $1,192 "," $2,171 "," $3,363 "
1/12/2011,12,January,2011,23,Youth (<25),Female,Australia,Victoria,Bikes,Road Bikes,"Road-250 Black, 44",1,1555,2443, $375 ," $1,555 "," $1,930 "
1/12/2011,12,January,2011,33,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540, $185 , $344 , $529 
1/12/2011,12,January,2011,29,Young Adults (25-34),Male,Australia,Queensland,Bikes,Road Bikes,"Road-250 Black, 52",1,1555,2443, $497 ," $1,555 "," $2,052 "
1/12/2011,12,January,2011,39,Adults (35-64),Female,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 58",4,1555,2443," $3,454 "," $6,220 "," $9,674 "
1/12/2011,12,January,2011,44,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578," $1,335 "," $2,171 "," $3,506 "
1/13/2011,13,January,2011,38,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-250 Black, 44",1,1555,2443, $351 ," $1,555 "," $1,906 "
1/13/2011,13,January,2011,33,Young Adults (25-34),Female,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",2,1083,1701," $1,100 "," $2,166 "," $3,266 "
1/13/2011,13,January,2011,38,Adults (35-64),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578," $1,335 "," $2,171 "," $3,506 "
1/14/2011,14,January,2011,29,Young Adults (25-34),Female,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320, $752 ," $1,266 "," $2,018 "
1/14/2011,14,January,2011,26,Young Adults (25-34),Male,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,1252,2295," $1,352 "," $2,504 "," $3,856 "
1/14/2011,14,January,2011,34,Young Adults (25-34),Female,United States,Washington,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",3,1912,3400," $2,220 "," $5,736 "," $7,956 "
1/14/2011,14,January,2011,44,Adults (35-64),Female,United States,Washington,Bikes,Road Bikes,"Road-350-W Yellow, 44",4,1083,1701, $975 ," $4,332 "," $5,307 "
1/14/2011,14,January,2011,22,Youth (<25),Female,Australia,Victoria,Bikes,Road Bikes,"Road-250 Black, 48",2,1555,2443, $750 ," $3,110 "," $3,860 "
1/14/2011,14,January,2011,47,Adults (35-64),Male,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 58",4,344,540, $503 ," $1,376 "," $1,879 "
1/14/2011,14,January,2011,57,Adults (35-64),Male,Australia,Queensland,Bikes,Road Bikes,"Road-550-W Yellow, 42",3,713,1120, $683 ," $2,139 "," $2,822 "
1/14/2011,14,January,2011,31,Young Adults (25-34),Female,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 52",1,344,540, $174 , $344 , $518 
1/14/2011,14,January,2011,40,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-650 Black, 48",1,487,783, $124 , $487 , $611 
1/15/2011,15,January,2011,24,Youth (<25),Male,Australia,Tasmania,Bikes,Mountain Bikes,"Mountain-200 Black, 46",3,1252,2295," $1,821 "," $3,756 "," $5,577 "
1/15/2011,15,January,2011,35,Adults (35-64),Female,France,Essonne,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320, $961 ," $1,266 "," $2,227 "
1/15/2011,15,January,2011,28,Young Adults (25-34),Male,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295, $951 ," $1,252 "," $2,203 "
1/15/2011,15,January,2011,72,Seniors (64+),Female,United States,California,Bikes,Mountain Bikes,"Mountain-100 Black, 48",4,1898,3375," $5,638 "," $7,592 "," $13,230 "
1/15/2011,15,January,2011,19,Youth (<25),Female,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 62",2,2171,3578," $2,528 "," $4,342 "," $6,870 "
1/15/2011,15,January,2011,19,Youth (<25),Male,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 42",1,713,1120, $261 , $713 , $974 
1/15/2011,15,January,2011,34,Young Adults (25-34),Male,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701, $397 ," $1,083 "," $1,480 "
1/16/2011,16,January,2011,27,Young Adults (25-34),Female,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320, $752 ," $1,266 "," $2,018 "
1/16/2011,16,January,2011,25,Young Adults (25-34),Female,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320, $752 ," $1,266 "," $2,018 "
1/16/2011,16,January,2011,57,Adults (35-64),Male,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443, $570 ," $1,555 "," $2,125 "
1/16/2011,16,January,2011,34,Young Adults (25-34),Female,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Black, 44",1,1555,2443, $570 ," $1,555 "," $2,125 "
1/16/2011,16,January,2011,22,Youth (<25),Male,Australia,Victoria,Bikes,Road Bikes,"Road-650 Black, 44",1,487,783, $132 , $487 , $619 
1/16/2011,16,January,2011,37,Adults (35-64),Male,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540, $191 , $344 , $535 
1/16/2011,16,January,2011,28,Young Adults (25-34),Male,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701, $397 ," $1,083 "," $1,480 "
1/17/2011,17,January,2011,23,Youth (<25),Male,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",3,1266,2320," $2,257 "," $3,798 "," $6,055 "
1/17/2011,17,January,2011,24,Youth (<25),Female,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 46",3,1252,2295," $2,234 "," $3,756 "," $5,990 "
1/17/2011,17,January,2011,32,Young Adults (25-34),Female,France,Seine Saint Denis,Bikes,Road Bikes,"Road-250 Black, 58",4,1555,2443," $1,793 "," $6,220 "," $8,013 "
1/17/2011,17,January,2011,42,Adults (35-64),Female,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540, $77 , $344 , $421 
1/17/2011,17,January,2011,46,Adults (35-64),Male,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540, $126 , $344 , $470 
1/17/2011,17,January,2011,30,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 48",4,2171,3578," $5,342 "," $8,684 "," $14,026 "
1/17/2011,17,January,2011,34,Young Adults (25-34),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578," $1,335 "," $2,171 "," $3,506 "
1/17/2011,17,January,2011,44,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",4,2171,3578," $5,342 "," $8,684 "," $14,026 "
1/18/2011,18,January,2011,19,Youth (<25),Male,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 42",4,713,1120," $1,046 "," $2,852 "," $3,898 "
1/18/2011,18,January,2011,54,Adults (35-64),Female,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 40",1,1083,1701, $397 ," $1,083 "," $1,480 "
1/18/2011,18,January,2011,18,Youth (<25),Male,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 52",1,344,540, $83 , $344 , $427 
1/18/2011,18,January,2011,29,Young Adults (25-34),Male,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701, $550 ," $1,083 "," $1,633 "
1/18/2011,18,January,2011,54,Adults (35-64),Female,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 52",3,344,540, $523 ," $1,032 "," $1,555 "
1/18/2011,18,January,2011,32,Young Adults (25-34),Male,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 38",1,713,1120, $362 , $713 ," $1,075 "
1/19/2011,19,January,2011,26,Young Adults (25-34),Female,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 44",1,1083,1701, $550 ," $1,083 "," $1,633 "
1/19/2011,19,January,2011,21,Youth (<25),Male,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 44",3,713,1120," $1,087 "," $2,139 "," $3,226 "
1/19/2011,19,January,2011,36,Adults (35-64),Female,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",2,1083,1701," $1,100 "," $2,166 "," $3,266 "
1/19/2011,19,January,2011,41,Adults (35-64),Female,Australia,Queensland,Bikes,Road Bikes,"Road-250 Red, 58",1,1555,2443, $497 ," $1,555 "," $2,052 "
1/19/2011,19,January,2011,39,Adults (35-64),Female,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 48",3,713,1120, $751 ," $2,139 "," $2,890 "
1/19/2011,19,January,2011,35,Adults (35-64),Female,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578, $620 ," $2,171 "," $2,791 "
1/20/2011,20,January,2011,23,Youth (<25),Female,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578," $1,264 "," $2,171 "," $3,435 "
1/20/2011,20,January,2011,46,Adults (35-64),Male,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540, $83 , $344 , $427 
1/20/2011,20,January,2011,33,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",4,344,540, $741 ," $1,376 "," $2,117 "
1/20/2011,20,January,2011,42,Adults (35-64),Male,Australia,South Australia,Bikes,Road Bikes,"Road-550-W Yellow, 40",1,713,1120, $205 , $713 , $918 
1/20/2011,20,January,2011,36,Adults (35-64),Female,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120, $172 , $713 , $885 
1/20/2011,20,January,2011,38,Adults (35-64),Female,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Black, 48",1,1555,2443, $864 ," $1,555 "," $2,419 "
1/21/2011,21,January,2011,25,Young Adults (25-34),Male,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320, $567 ," $1,266 "," $1,833 "
1/21/2011,21,January,2011,38,Adults (35-64),Female,Germany,Hamburg,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",4,1912,3400," $5,000 "," $7,648 "," $12,648 "
1/21/2011,21,January,2011,23,Youth (<25),Female,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 56",2,2171,3578," $2,528 "," $4,342 "," $6,870 "
1/21/2011,21,January,2011,36,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",1,487,783, $280 , $487 , $767 
1/21/2011,21,January,2011,24,Youth (<25),Male,Australia,Victoria,Bikes,Road Bikes,"Road-250 Black, 44",1,1555,2443, $375 ," $1,555 "," $1,930 "
1/21/2011,21,January,2011,45,Adults (35-64),Female,Australia,Queensland,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540, $110 , $344 , $454 
1/21/2011,21,January,2011,38,Adults (35-64),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578," $1,335 "," $2,171 "," $3,506 "
1/22/2011,22,January,2011,46,Adults (35-64),Male,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",3,1252,2295," $3,060 "," $3,756 "," $6,816 "
1/22/2011,22,January,2011,26,Young Adults (25-34),Male,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,420,769, $188 , $420 , $608 
1/22/2011,22,January,2011,35,Adults (35-64),Female,France,Seine Saint Denis,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",1,1912,3400, $876 ," $1,912 "," $2,788 "
1/22/2011,22,January,2011,31,Young Adults (25-34),Female,France,Val d'Oise,Bikes,Road Bikes,"Road-150 Red, 56",3,2171,3578," $1,967 "," $6,513 "," $8,480 "
1/22/2011,22,January,2011,30,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-650 Black, 58",1,487,783, $280 , $487 , $767 
1/22/2011,22,January,2011,40,Adults (35-64),Female,United States,California,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443, $839 ," $1,555 "," $2,394 "
1/22/2011,22,January,2011,34,Young Adults (25-34),Female,United States,California,Bikes,Road Bikes,"Road-250 Black, 52",2,1555,2443," $1,678 "," $3,110 "," $4,788 "
1/22/2011,22,January,2011,37,Adults (35-64),Male,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 48",3,713,1120, $515 ," $2,139 "," $2,654 "
1/22/2011,22,January,2011,30,Young Adults (25-34),Female,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540, $83 , $344 , $427 
1/23/2011,23,January,2011,41,Adults (35-64),Female,United States,Washington,Bikes,Road Bikes,"Road-250 Black, 52",4,1555,2443," $1,402 "," $6,220 "," $7,622 "
1/23/2011,23,January,2011,30,Young Adults (25-34),Male,France,Seine Saint Denis,Bikes,Road Bikes,"Road-250 Black, 48",3,1555,2443," $1,345 "," $4,665 "," $6,010 "
1/23/2011,23,January,2011,62,Adults (35-64),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578," $1,335 "," $2,171 "," $3,506 "
1/24/2011,24,January,2011,34,Young Adults (25-34),Female,United States,Washington,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400, $740 ," $1,912 "," $2,652 "
1/24/2011,24,January,2011,41,Adults (35-64),Female,United States,Washington,Bikes,Road Bikes,"Road-250 Black, 52",4,1555,2443," $1,402 "," $6,220 "," $7,622 "
1/24/2011,24,January,2011,31,Young Adults (25-34),Female,United States,Washington,Bikes,Road Bikes,"Road-350-W Yellow, 42",4,1083,1701, $975 ," $4,332 "," $5,307 "
1/24/2011,24,January,2011,34,Young Adults (25-34),Female,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Black, 44",3,1555,2443," $1,711 "," $4,665 "," $6,376 "
1/24/2011,24,January,2011,42,Adults (35-64),Female,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540, $83 , $344 , $427 
1/24/2011,24,January,2011,39,Adults (35-64),Female,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 58",1,1555,2443, $864 ," $1,555 "," $2,419 "
1/24/2011,24,January,2011,38,Adults (35-64),Female,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Black, 48",4,1555,2443," $3,454 "," $6,220 "," $9,674 "
1/24/2011,24,January,2011,35,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",2,2171,3578," $1,240 "," $4,342 "," $5,582 "
1/25/2011,25,January,2011,31,Young Adults (25-34),Male,United States,Washington,Bikes,Road Bikes,"Road-650 Black, 48",1,487,783, $124 , $487 , $611 
1/25/2011,25,January,2011,39,Adults (35-64),Male,United States,California,Bikes,Road Bikes,"Road-350-W Yellow, 42",2,1083,1701," $1,168 "," $2,166 "," $3,334 "
1/25/2011,25,January,2011,55,Adults (35-64),Male,Australia,Queensland,Bikes,Road Bikes,"Road-550-W Yellow, 40",1,713,1120, $228 , $713 , $941 
1/25/2011,25,January,2011,38,Adults (35-64),Male,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578," $1,335 "," $2,171 "," $3,506 "
1/26/2011,26,January,2011,34,Young Adults (25-34),Male,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 46",3,1252,2295," $2,027 "," $3,756 "," $5,783 "
1/26/2011,26,January,2011,38,Adults (35-64),Female,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769, $318 , $420 , $738 
1/26/2011,26,January,2011,43,Adults (35-64),Female,Australia,Queensland,Bikes,Road Bikes,"Road-150 Red, 62",3,2171,3578," $2,504 "," $6,513 "," $9,017 "
1/26/2011,26,January,2011,38,Adults (35-64),Female,Australia,Victoria,Bikes,Road Bikes,"Road-250 Red, 58",1,1555,2443, $375 ," $1,555 "," $1,930 "
1/26/2011,26,January,2011,35,Adults (35-64),Male,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",4,2171,3578," $2,479 "," $8,684 "," $11,163 "
1/27/2011,27,January,2011,25,Young Adults (25-34),Female,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",4,1266,2320," $3,010 "," $5,064 "," $8,074 "
1/27/2011,27,January,2011,32,Young Adults (25-34),Female,France,Seine et Marne,Bikes,Road Bikes,"Road-350-W Yellow, 44",1,1083,1701, $312 ," $1,083 "," $1,395 "
